project,bug_id,flexeme_exists,smartcommit_exists
Lang,22,True,True
Jsoup,10,True,True
Mockito,6,False,True
JacksonDatabind,62,True,True
Closure,14,True,True
Closure,111,True,True
Closure,137,True,True
Mockito,17,False,True
JacksonDatabind,40,True,True
JacksonDatabind,5,False,True
Math,2,True,True
Closure,163,True,True
JacksonCore,23,True,True
Time,21,False,False
Math,87,True,True
Jsoup,32,True,True
Closure,125,True,True
JacksonCore,21,True,True
Jsoup,60,True,True
JacksonDatabind,22,False,True
Cli,20,True,True
Closure,10,True,True
Closure,100,True,True
Collections,28,False,True
Mockito,25,False,True
Closure,127,True,True
Jsoup,77,False,True
JacksonDatabind,91,True,True
Cli,16,False,True
Gson,8,True,True
JacksonDatabind,45,True,True
Cli,36,True,True
Mockito,16,False,True
Jsoup,69,True,True
Jsoup,17,False,False
Mockito,2,False,True
Cli,37,True,False
Jsoup,9,True,True
Closure,153,True,True
Math,22,True,True
JacksonDatabind,54,True,True
JxPath,12,True,True
Cli,19,True,True
Time,12,True,True
Jsoup,48,False,True
Collections,19,False,False
Math,23,True,True
JacksonCore,19,True,True
Lang,50,True,True
Csv,11,False,True
Collections,8,False,False
Codec,17,True,True
Math,25,True,True
Compress,9,True,True
Jsoup,11,True,True
Math,79,True,True
Closure,87,True,True
Mockito,5,False,True
Compress,6,True,True
Closure,159,True,True
Closure,12,True,True
Mockito,11,False,True
Math,91,True,True
JacksonDatabind,38,True,True
Cli,13,True,True
Compress,10,True,True
Collections,26,True,True
JacksonCore,9,True,True
Codec,7,False,True
Jsoup,89,False,True
Collections,13,False,False
Lang,56,True,True
Jsoup,64,True,True
Jsoup,46,False,True
JacksonDatabind,63,False,True
Collections,6,False,False
Lang,16,True,True
Math,10,True,True
Jsoup,30,True,True
Closure,55,True,True
Closure,118,True,True
Math,105,True,True
Math,104,True,True
JacksonXml,5,True,True
Cli,17,True,True
JacksonDatabind,66,False,False
Lang,44,False,True
Mockito,15,False,True
Math,71,True,True
Compress,1,True,True
Compress,12,True,True
Lang,46,False,True
JacksonXml,3,True,True
Closure,138,True,True
Lang,19,True,True
Cli,8,True,True
Gson,11,True,True
Jsoup,6,True,True
Closure,32,True,True
Lang,34,True,True
Closure,82,True,True
JacksonDatabind,65,True,True
Csv,1,True,True
Math,61,True,True
Jsoup,86,True,False
Collections,4,False,False
Math,101,True,True
Lang,65,True,True
JacksonDatabind,87,False,True
JacksonDatabind,3,False,True
Jsoup,2,True,True
Math,83,True,True
JacksonDatabind,88,True,True
Mockito,1,False,True
Mockito,31,False,True
Math,20,True,True
Jsoup,61,True,True
Closure,47,True,True
Closure,21,True,True
Math,50,True,True
Closure,23,True,True
Mockito,10,False,True
Jsoup,24,True,True
Closure,39,True,True
Compress,34,True,True
Mockito,14,False,True
Compress,31,True,True
JacksonDatabind,43,True,False
Closure,132,True,True
Lang,45,False,True
JacksonDatabind,16,True,True
Compress,35,True,True
Math,82,True,True
Closure,113,True,True
Math,94,True,True
Lang,62,True,True
Time,3,True,True
Closure,165,True,True
Closure,105,True,True
Lang,43,True,True
Cli,32,True,True
Closure,146,False,True
JacksonDatabind,68,True,True
JacksonDatabind,105,True,True
Jsoup,88,False,False
JacksonDatabind,99,True,True
Jsoup,54,True,True
Cli,11,True,True
Math,44,True,True
Math,69,True,True
Compress,4,True,True
Math,93,True,True
JacksonDatabind,93,True,True
JacksonCore,25,True,True
Lang,32,True,True
Cli,35,True,True
Math,102,True,True
Collections,15,False,False
Cli,30,True,True
JacksonDatabind,76,True,True
Math,8,True,True
Closure,176,True,True
JacksonDatabind,48,True,True
JxPath,1,True,True
JacksonDatabind,31,True,False
Math,53,True,True
Lang,63,True,True
Time,14,True,True
JacksonDatabind,98,True,True
Compress,46,True,True
Jsoup,20,True,True
Math,34,True,True
Codec,10,True,True
Csv,12,False,True
JacksonDatabind,74,True,True
Cli,10,True,True
